gene_symbol,log2FC,pvalue,padj
Hnrnpa3,-0.08999999999999986,0.0,0.0
Clcn2,-0.05999999999999961,0.0,0.0
Zfp422,-0.5299999999999994,0.0,0.0
Tbrg1,0.23000000000000043,0.0,0.0
Usp45,0.05999999999999961,0.0,0.0
Rpl27a,-0.02999999999999936,0.0,0.0
Echs1,0.120000000000001,0.0,0.0
Rhog,0.17999999999999972,0.0,0.0
Rpl13,-0.07000000000000028,0.0,0.0
Atp6v0d1,-0.23000000000000043,0.0,0.0
Syap1,0.2599999999999998,0.0,0.0
Rpl7a,-0.02999999999999936,0.0,0.0
Rab5b,-0.2400000000000002,0.0,0.0
Rps19,-0.05000000000000071,0.0,0.0
Slc15a3,0.8100000000000005,0.0,0.0
Slc8b1,0.6500000000000004,0.0,0.0
Rpl14,-0.03999999999999915,0.0,0.0
Mrpl27,0.03999999999999915,0.0,0.0
Ifi27,0.7999999999999989,0.0,0.0
Rps2,-0.07000000000000028,0.0,0.0
Hnrnpk,-0.20999999999999908,0.0,0.0
Ttc7b,0.629999999999999,0.0,0.0
Cct8,0.14000000000000057,0.0,0.0
Slc5a8,0.20999999999999996,0.0,0.0
Gtf2ird1,-0.5600000000000005,0.0,0.0
Cxcl11,4.585,1.5459470323794066e-05,0.008291171737826368
Plxnd1,1.7800000000000002,1.578046221072268e-05,0.008291171737826368
Mmp14,1.8499999999999996,2.9217127086133512e-05,0.014802648744424643
Ckb,-0.8949999999999996,3.120855115061108e-05,0.015092854144911993
S1pr2,0.8849999999999998,3.191777980737063e-05,0.015092854144911993
Pcyox1,-1.0199999999999996,4.805497491901739e-05,0.02137733575685115
Cysltr1,-1.4400000000000004,4.822182040175079e-05,0.02137733575685115
Tgm2,2.4349999999999996,5.480872812030842e-05,0.02356110960953622
Optn,1.2799999999999994,6.102956888292324e-05,0.025463690122739677
Shmt2,1.3849999999999998,6.515804089719077e-05,0.026409484804787095
Nr1h3,1.7449999999999992,7.388283014158488e-05,0.028987669145527428
Urod,-0.5750000000000002,7.560579151166748e-05,0.028987669145527428
Cd302,0.7899999999999991,8.010573970475076e-05,0.02951865208703377
Hmg1l1,-0.5550000000000015,8.115236369620168e-05,0.02951865208703377
Zmynd8,-0.7700000000000014,8.432058702118109e-05,0.029904296187061873
Gsta1,1.1950000000000003,8.752199006757266e-05,0.030062562230723778
N4bp2l1,1.1850000000000005,8.90051891787959e-05,0.030062562230723778
Ctla2a,-2.17,9.555002330936157e-05,0.03127968446322431
Nrp2,1.1349999999999998,9.701861810107638e-05,0.03127968446322431
Nfe2l2,0.495000000000001,0.00010201479241028721,0.03143189507235157
Mmp9,4.405,0.00010434345772381096,0.03143189507235157
Abca1,-0.4850000000000012,0.00010626427956252341,0.03143189507235157
St6gal1,-1.7249999999999996,0.00010920286144054261,0.03143189507235157
Slamf8,2.385,0.00010985799788384815,0.03143189507235157
Lrp1,-0.47499999999999964,0.00011078491143504712,0.03143189507235157
Lrrc8c,1.6950000000000003,0.00011310199661195134,0.03146009654778709
Il7r,2.369999999999999,0.00011570211195078455,0.031557137752885454
Piezo1,1.0250000000000004,0.00011895557051540757,0.031557137752885454
Tbc1d2b,2.039999999999999,0.00012012444936245697,0.031557137752885454
Isg15,2.6999999999999993,0.0001234339324580852,0.0318369775609163
Ccng2,-0.9949999999999992,0.00012623553075527506,0.031978164987398784
Tlr4,-0.9850000000000012,0.00012881120195642361,0.03205817036761097
Arhgap4,0.4349999999999987,0.00013209167219632834,0.032252511180942
Nadk,1.2949999999999982,0.00013413916253176216,0.032252511180942
Dpep2,-0.9550000000000001,0.00013702947568338718,0.03239833570074217
Nupr1,1.5150000000000006,0.00014156825021795905,0.03285796694085275
Nampt,1.7699999999999996,0.00014360594602656637,0.03285796694085275
Cpd,1.2999999999999972,0.00014789617769262527,0.03297644542546955
Ddx58,2.09,0.00014877291042084104,0.03297644542546955
Irg1,5.445000000000002,0.00016607423801511683,0.03624304788254185
Arpc5l,0.3849999999999998,0.00016861984775467097,0.03624304788254185
Gatad2b,-0.5400000000000027,0.00017142367486879166,0.03629576495057729
Npb,1.545,0.000177998357542853,0.03713359853092518
Rnf149,1.1700000000000017,0.00018257837328776745,0.037473970520866054
Ccl4,3.6449999999999996,0.00018999515777887082,0.037473970520866054
Sox4,-2.6099999999999994,0.00019078228246497385,0.037473970520866054
C3,1.8049999999999997,0.00019177882707987234,0.037473970520866054
Arhgap17,-0.8049999999999997,0.00019283799859179629,0.037473970520866054
Lst1,0.7949999999999999,0.00019771833239892804,0.037903138694745854
Tmem63a,0.34500000000000064,0.00020997375559545517,0.03966652892671913
Snx5,-0.9499999999999993,0.00022153301113658327,0.03966652892671913
Pofut2,0.7449999999999992,0.0002251390262001669,0.03966652892671913
Nfkb2,1.6349999999999998,0.0002337180364080471,0.03966652892671913
Lipa,-0.3249999999999993,0.00023660239299580987,0.03966652892671913
Ghitm,1.165000000000001,0.00023937321388447857,0.03966652892671913
Aars,1.1649999999999991,0.00023937321388447936,0.03966652892671913
Gpr84,2.280000000000001,0.0002403719068814644,0.03966652892671913
Sra1,0.7149999999999999,0.00024442109230253046,0.03966652892671913
RT1-S3,2.0200000000000005,0.00024498395722730425,0.03966652892671913
Rbpms,1.3049999999999997,0.0002494625588183966,0.03966652892671913
Bmp2,-2.280000000000001,0.0002499831781153841,0.03966652892671913
Gpr137b,0.7049999999999983,0.00025140156769056936,0.03966652892671913
Mgea5,-0.3149999999999977,0.00025185745267850733,0.03966652892671913
Rhbdf2,1.2949999999999982,0.00025332866820323063,0.03966652892671913
Cflar,2.209999999999999,0.0002558343054264693,0.03966652892671913
Hdac5,-0.4400000000000004,0.00025816445505726814,0.03966652892671913
Bcl2a1,0.6950000000000003,0.00025868536532367255,0.03966652892671913
Tspan8,-3.0999999999999996,0.00026004421191208794,0.03966652892671913
Lcn2,5.609999999999999,0.000268383691869592,0.04036391904784699
Ech1,-0.8599999999999994,0.0002703068031541988,0.04036391904784699
Sqstm1,0.6750000000000007,0.00027423557350989187,0.040524019227201315
Me1,0.8950000000000005,0.00028077181604449736,0.04069276051668124
Dtx3l,1.075000000000001,0.00028111451646938967,0.04069276051668124
Ccl9,2.25,0.00028629675738658364,0.04102430101299066
Olr1366,-0.9199999999999999,0.0002952378204937904,0.041758718194982676
Asap1,0.41000000000000014,0.0002973093569500388,0.041758718194982676
F10,2.9299999999999997,0.00030271982809875435,0.04210179883734245
